tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-3859-IAH-ORD,7:10 am,7:16 am,9:40 am,9:32 am
2,aa,AA-1733-ORD-PHX,7:45 pm,7:58 pm,10:30 pm,7:10 pm
3,aa,AA-1640-MIA-MCO,6:30 pm,7:22 am,7:25 pm,7:10 pm
4,aa,AA-518-MIA-JFK,6:40 am,6:54 am,9:25 am,9:28 am
5,aa,AA-3756-ORD-SLC,12:15 pm,12:41 pm,2:45 pm,2:50 pm
6,aa,AA-204-LAX-MCO,11:25 pm,7:22 am,6:55 am Dec 02,7:10 pm
7,aa,AA-3468-CVG-MIA,7:00 am,7:25 am,9:55 am,9:45 am
8,aa,AA-484-DFW-MIA,4:15 pm,4:29 pm,7:55 pm,7:39 pm
9,aa,AA-446-DFW-PHL,11:50 am,12:12 pm,3:50 pm,4:09 pm
10,aa,AA-466-IAH-MIA,6:00 am,6:08 am,9:20 am,9:05 am
11,aa,AA-1886-BOS-MIA,10:45 am,10:55 am,2:20 pm,1:40 pm
12,aa,AA-2957-DFW-CVG,7:55 am,8:04 am,11:05 am,11:01 am
13,aa,AA-1664-MIA-ATL,10:15 am,10:18 am,12:10 pm,11:56 am
14,aa,AA-3979-CVG-ORD,7:30 am,8:04 am,8:00 am,8:06 am
15,aa,AA-1279-DFW-PHX,1:00 pm,2:04 pm,2:35 pm,3:30 pm
16,aa,AA-616-DFW-DTW,9:05 am,10:10 am,12:35 pm,1:27 pm
17,aa,AA-4344-ORD-DTW,11:45 am,12:13 pm,2:00 pm,2:10 pm
18,aa,AA-2525-DFW-MIA,7:25 am,7:39 am,11:10 am,11:06 am
19,aa,AA-404-MIA-MCO,6:45 am,6:57 am,7:45 am,7:40 am
20,aa,AA-271-MIA-LAX,11:35 am,11:52 am,2:25 pm,2:27 pm
21,aa,AA-2050-ORD-MIA,10:40 am,11:05 am,2:45 pm,2:46 pm
22,aa,AA-4330-CVG-ORD,3:35 pm,3:36 pm,4:00 pm,3:33 pm
23,aa,AA-1434-DFW-MCO,7:15 am,7:21 am,10:35 am,10:36 am
24,aa,AA-4307-ORD-DTW,6:45 pm,6:55 pm,9:10 pm,8:53 pm
25,aa,AA-3-JFK-LAX,12:00 pm,12:11 pm,3:15 pm,3:16 pm
26,aa,AA-3842-MSP-ORD,6:00 am,6:56 am,7:30 am,7:51 am
27,aa,AA-643-MIA-ORD,7:10 am,7:30 am,9:35 am,9:31 am
28,aa,AA-1007-MIA-PHX,4:55 pm,5:08 pm,8:05 pm,7:55 pm
29,aa,AA-1221-MCO-ORD,8:00 pm,8:23 pm,9:45 pm,9:53 pm
30,aa,AA-400-DFW-JFK,10:40 am,11:01 am,2:59 pm,3:04 pm
31,aa,AA-4198-ORD-CLE,10:40 am,10:54 am,12:55 pm,12:50 pm
32,aa,AA-1522-SFO-ORD,11:55 pm,7:22 am,5:50 am,7:10 pm
33,aa,AA-3823-LAX-DEN,9:00 pm,7:22 am,12:15 am,7:10 pm
34,aa,AA-2312-DFW-DTW,8:25 pm,7:22 am,11:50 pm,7:10 pm
35,aa,AA-1165-JFK-MIA,6:59 am,7:22 am,10:34 am,10:04 am
36,aa,AA-431-MIA-SFO,8:35 am,8:51 am,11:50 am,11:44 am
37,aa,AA-649-ORD-SNA,1:30 pm,7:22 am,3:50 pm,7:10 pm
38,aa,AA-3063-SLC-LAX,8:20 pm,8:39 pm,9:20 pm,7:10 pm
39,aa,AA-3804-PHL-ORD,2:35 pm,2:44 pm,4:05 pm,3:43 pm
40,aa,AA-1917-JFK-MCO,2:55 pm,3:27 pm,5:55 pm,5:43 pm
41,aa,AA-2268-PHX-ORD,7:15 am,7:22 am,11:35 am,11:06 am
42,aa,AA-4277-CVG-JFK,12:10 pm,12:10 pm,2:15 pm,1:43 pm
43,aa,AA-789-ORD-DEN,1:05 pm,1:19 pm,2:35 pm,3:13 pm
44,aa,AA-415-BOS-ORD,8:35 am,8:56 am,10:40 am,10:16 am
45,aa,AA-85-JFK-SFO,3:05 pm,3:36 pm,6:30 pm,6:43 pm
46,aa,AA-1544-SAN-ORD,11:25 am,11:40 am,5:25 pm,4:56 pm
47,aa,AA-3786-IAH-ORD,4:00 pm,4:12 pm,6:40 pm,6:15 pm
48,aa,AA-222-LAX-BOS,7:10 am,7:31 am,3:30 pm,3:14 pm
49,aa,AA-3809-PHX-LAX,6:00 am,6:10 am,6:40 am,6:19 am
50,aa,AA-59-JFK-SFO,7:10 am,7:39 am,10:45 am,11:12 am
51,helloflight,AA-3859-IAH-ORD,7:10 am,7:16 am,9:40 am,9:22 am
52,helloflight,CO-1586-IAH-MCO,7:00 pm,7:22 am,10:15 pm,7:10 pm
53,helloflight,AA-518-MIA-JFK,6:40 am,6:54 am,9:25 am,9:14 am
54,helloflight,UA-397-JFK-SFO,8:00 am,8:48 am,11:55 am,11:30 am
55,helloflight,UA-3925-IAD-ORF,8:41 am,9:00 am,9:54 am,9:29 am
56,helloflight,AA-1733-ORD-PHX,7:45 pm,7:59 pm,10:30 pm,10:31 pm
57,helloflight,UA-2830-MCO-CLT,3:27 pm,3:50 pm,5:05 pm,5:14 pm
58,helloflight,CO-58-DEN-IAH,11:25 am,7:22 am,2:50 pm,7:10 pm
59,helloflight,AA-1544-SAN-ORD,11:25 am,11:41 am,5:25 pm,4:54 pm
60,helloflight,UA-5487-SFO-MRY,10:39 am,10:53 am,11:19 am,11:11 am
61,helloflight,AA-204-LAX-MCO,11:25 pm,11:29 pm,6:55 am Dec 02,12/2/11 6:35 am
62,helloflight,UA-414-LAX-SFO,6:00 am,6:10 am,7:23 am,7:04 am
63,helloflight,CO-1614-LAX-IAH,12:30 am,7:22 am,5:35 am,7:10 pm
64,helloflight,UA-2726-FLL-PHL,4:00 pm,4:10 pm,6:46 pm,6:25 pm
65,helloflight,CO-52-IAH-LAX,7:35 am,7:22 am,9:21 am,7:10 pm
66,helloflight,CO-1090-BOS-IAH,9:45 am,7:22 am,1:16 pm,7:10 pm
67,helloflight,AA-616-DFW-DTW,9:05 am,10:11 am,12:35 pm,1:11 pm
68,helloflight,UA-3515-IAD-MSP,8:15 am,8:26 am,10:06 am,9:56 am
69,helloflight,AA-3468-CVG-MIA,7:00 am,7:25 am,9:55 am,9:29 am
70,helloflight,AA-484-DFW-MIA,4:15 pm,4:29 pm,7:55 pm,7:37 pm
71,helloflight,AA-1886-BOS-MIA,10:45 am,10:54 am,2:20 pm,1:36 pm
72,helloflight,CO-62-IAH-EWR,2:30 pm,7:22 am,7:03 pm,7:10 pm
73,helloflight,CO-1561-PHX-IAH,8:05 am,7:22 am,11:35 am,7:10 pm
74,helloflight,UA-2314-ATL-PHL,2:55 pm,3:04 pm,5:00 pm,4:43 pm
75,helloflight,AA-446-DFW-PHL,11:50 am,12:13 pm,3:50 pm,4:08 pm
76,helloflight,CO-1023-IAH-DEN,11:40 am,7:22 am,1:17 pm,7:10 pm
77,helloflight,AA-466-IAH-MIA,6:00 am,6:09 am,9:20 am,8:50 am
78,helloflight,UA-3050-PHX-CLT,11:05 am,11:45 am,4:57 pm,5:00 pm
79,helloflight,CO-89-IAH-EWR,6:00 am,7:22 am,10:20 am,7:10 pm
80,helloflight,CO-1088-CLE-IAH,8:40 am,7:22 am,10:54 am,7:10 pm
81,helloflight,AA-1664-MIA-ATL,10:15 am,10:19 am,12:10 pm,11:50 am
82,helloflight,AA-1279-DFW-PHX,1:00 pm,2:03 pm,2:35 pm,3:13 pm
83,helloflight,UA-854-SFO-IAH,7:53 am,8:07 am,1:39 pm,1:23 pm
84,helloflight,UA-382-IAD-LAX,12:30 pm,12:56 pm,3:19 pm,3:09 pm
85,helloflight,AA-4344-ORD-DTW,11:45 am,12:14 pm,2:00 pm,1:55 pm
86,helloflight,UA-257-JFK-SFO,2:30 pm,2:43 pm,6:15 pm,5:22 pm
87,helloflight,UA-2945-PHL-CLT,12:00 pm,12:07 pm,1:45 pm,1:11 pm
88,helloflight,CO-63-EWR-IAH,5:25 pm,7:22 am,8:22 pm,7:10 pm
89,helloflight,CO-47-IAH-LAX,7:10 pm,7:22 am,8:56 pm,7:10 pm
90,helloflight,AA-2050-ORD-MIA,10:40 am,11:06 am,2:45 pm,2:39 pm
91,helloflight,UA-248-PHX-ORD,12:57 pm,1:43 pm,5:15 pm,5:24 pm
92,helloflight,AA-4330-CVG-ORD,3:35 pm,7:22 am,4:00 pm,7:10 pm
93,helloflight,AA-1434-DFW-MCO,7:15 am,7:22 am,10:35 am,10:34 am
94,helloflight,AA-1640-MIA-MCO,6:30 pm,6:47 pm,7:25 pm,7:25 pm
95,helloflight,AA-4307-ORD-DTW,6:45 pm,6:56 pm,9:10 pm,8:38 pm
96,helloflight,AA-3-JFK-LAX,12:00 pm,12:12 pm,3:15 pm,3:04 pm
97,helloflight,CO-1694-LAX-IAH,7:15 pm,7:22 am,12:21 am,7:10 pm
98,helloflight,UA-843-LAX-ORD,1:55 pm,2:04 pm,7:53 pm,7:20 pm
99,helloflight,CO-1193-EWR-MCO,9:15 am,7:22 am,12:18 pm,7:10 pm
100,helloflight,AA-3842-MSP-ORD,6:00 am,6:57 am,7:30 am,7:49 am
101,helloflight,AA-643-MIA-ORD,7:10 am,7:31 am,9:35 am,9:26 am
102,helloflight,AA-1007-MIA-PHX,4:55 pm,5:09 pm,8:05 pm,7:43 pm
103,helloflight,AA-2525-DFW-MIA,7:25 am,7:39 am,11:10 am,10:43 am
104,helloflight,UA-2906-PHL-MCO,3:50 pm,4:44 pm,6:23 pm,6:28 pm
105,helloflight,UA-938-DEN-ORD,4:16 pm,4:37 pm,7:35 pm,7:23 pm
106,helloflight,AA-1221-MCO-ORD,8:00 pm,8:23 pm,9:45 pm,9:47 pm
107,helloflight,CO-16-LAX-EWR,10:25 am,7:22 am,6:44 pm,7:10 pm
108,helloflight,UA-2515-DFW-CLT,7:05 am,7:30 am,10:31 am,10:43 am
109,helloflight,AA-400-DFW-JFK,10:40 am,11:02 am,2:59 pm,2:58 pm
110,helloflight,UA-664-ORD-PHL,1:33 pm,1:48 pm,4:31 pm,4:20 pm
111,helloflight,AA-3756-ORD-SLC,12:15 pm,12:42 pm,2:45 pm,2:50 pm
112,helloflight,UA-37-EWR-MCO,1:29 pm,7:22 am,4:17 pm,7:10 pm
113,helloflight,AA-1522-SFO-ORD,11:55 pm,12:11 am,5:50 am,5:52 am
114,helloflight,UA-233-LAX-JFK,4:25 pm,4:28 pm,12:29 am,12/2/11 12:01 am
115,helloflight,AA-3823-LAX-DEN,9:00 pm,9:06 pm,12:15 am,11:49 pm
116,helloflight,AA-2312-DFW-DTW,8:25 pm,8:29 pm,11:50 pm,11:35 pm
117,helloflight,AA-1165-JFK-MIA,6:59 am,7:23 am,10:34 am,9:45 am
118,helloflight,AA-431-MIA-SFO,8:35 am,8:52 am,11:50 am,11:33 am
119,helloflight,UA-3373-IAD-PHL,8:29 am,8:37 am,9:24 am,9:13 am
120,helloflight,AA-649-ORD-SNA,1:30 pm,1:41 pm,3:50 pm,3:29 pm
121,helloflight,CO-1250-MIA-IAH,2:53 pm,7:22 am,4:48 pm,7:10 pm
