tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-3859-IAH-ORD,7:10 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,7:16 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,9:40 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,9:22 p.m.m. a.m. p.m. a.m. p.m. a.m. a....
2,aa,AA-1733-ORD-PHX,7:45 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,7:59 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,10:30 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,10:30 p.m.m. a.m. p.m. a.m. p.m. a.m. p....
3,aa,AA-1640-MIA-MCO,6:30 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,6:47 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,7:25 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,7:25 p.m.m. a.m. p.m. a.m. p.m. a.m. p....
4,aa,AA-518-MIA-JFK,6:40 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,6:54 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,9:25 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,9:28 p.m.m. a.m. p.m. a.m. p.m. a.m. a....
5,aa,AA-3756-ORD-SLC,12:15 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,12:42 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,2:45 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,2:50 p.m.m. a.m. p.m. a.m. p.m. a.m. p....
6,aa,AA-204-LAX-MCO,11:25 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,11:29 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,6:55 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,12211 6:35 p.m.m. a.m. p.m. a.m. p.m. a.m. a....
7,aa,AA-3468-CVG-MIA,7:00 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,7:25 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,9:55 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,9:45 p.m.m. a.m. p.m. a.m. p.m. a.m. a....
8,aa,AA-484-DFW-MIA,4:15 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,4:29 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,7:55 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,7:39 p.m.m. a.m. p.m. a.m. p.m. a.m. p....
9,aa,AA-446-DFW-PHL,11:50 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,12:13 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,3:50 p.m.m. a.m. p.m. a.m. p.m. a.m. p....,4:09 p.m.m. a.m. p.m. a.m. p.m. a.m. p....
10,aa,AA-466-IAH-MIA,6:00 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,6:09 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,9:20 p.m.m. a.m. p.m. a.m. p.m. a.m. a....,9:05 p.m.m. a.m. p.m. a.m. p.m. a.m. a....
